"file","line","marker","maturity","disposition","reason","excerpt"
"app/api/ai/suggestions/route.ts","28","mock","release","scheduled:M14","AI or agronomic rule validation","id: 'mock-1',"
"app/api/ai/suggestions/route.ts","96","mock","release","scheduled:M14","AI or agronomic rule validation","// Return grounded mock response for local development"
"app/api/ai/suggestions/route.ts","98","mock","release","scheduled:M14","AI or agronomic rule validation","id: 'mock-new',"
"app/api/iot/telemetry/route.ts","21","todo","release","scheduled:M13","external provider integration","// TODO: Implement device lookup for multi-device support"
"app/api/public-contract/route.ts","38","todo","release","scheduled:M15","commercial lifecycle or role management","status: 'todo',"
"app/app/irrigation/page.tsx","1155","mock","release","scheduled:M12","agronomic operation pilot","// Mock analytics data"
"app/app/mechanical-work/page.tsx","1373","mock","release","scheduled:M12","agronomic operation pilot","// Mock analytics data"
"app/app/nutrition/page.tsx","802","mock","release","scheduled:M12","agronomic operation pilot","// Mock analytics data"
"components/Advice.tsx","288","todo","release","scheduled:M14","AI or agronomic rule validation","undefined // userProfile - TODO: caricare da context"
"components/ai/CollaborativeAIDashboard.tsx","80","mock","release","scheduled:M14","AI or agronomic rule validation","""mock-user-id"","
"components/ai/CollaborativeAIDashboard.tsx","98","mock","release","scheduled:M14","AI or agronomic rule validation","""mock-user-id"","
"components/ai/CollaborativeAIDashboard.tsx","119","mock","release","scheduled:M14","AI or agronomic rule validation","""mock-user-id"","
"components/diary/DiaryPlannerIntegration.tsx","261","placeholder","release","accepted","non-operational UI placeholder","{/* Skeleton placeholder per migliorare UX */}"
"components/DiseaseDiagnosis.tsx","32","todo","release","scheduled:M15","commercial upgrade and credit lifecycle","// TODO: Implementare upgrade flow"
"components/dominance/DominanceDashboard.tsx","93","mock","laboratory","isolated","internal strategic analysis module","// INTERNAL USE ONLY - Mock data for strategic analysis"
"components/dominance/DominanceDashboard.tsx","624","placeholder","laboratory","isolated","internal strategic analysis module","{/* Placeholder for other tabs */}"
"components/harvest/QuickHarvestForm.tsx","105","placeholder","release","scheduled:M12","agronomic operation pilot","// Ottieni emoji pianta (placeholder - da migliorare con mapping reale)"
"components/harvest/QuickHarvestForm.tsx","117","placeholder","release","scheduled:M12","agronomic operation pilot","// Ottieni zona (placeholder - da migliorare con dati reali)"
"components/health/HealthAlertSystem.tsx","177","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Implementare quando avremo dati da foto AI"
"components/irrigation/IrrigationZonesWidget.tsx","29","todo","release","scheduled:M12","agronomic operation pilot","// TODO: Implementare getIrrigationSystems e getIrrigationZones nello storage provider"
"components/irrigation/IrrigationZonesWidget.tsx","70","todo","release","scheduled:M12","agronomic operation pilot","// TODO: Implementare createIrrigationZone nello storage provider"
"components/irrigation/IrrigationZonesWidget.tsx","210","todo","release","scheduled:M12","agronomic operation pilot","beds={[]} // TODO: Caricare beds da storage"
"components/memory/PatternView.tsx","43","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Salvare conferma in database"
"components/memory/PatternView.tsx","52","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Salvare rifiuto in database"
"components/nutrition/NutritionAnalytics.tsx","77","todo","release","scheduled:M12","agronomic operation pilot","// TODO: Implement export functionality"
"components/planner/AlmanaccoIntegration.tsx","139","mock","release","scheduled:M13","external weather or solar provider integration","// Mock weather data (in a real app, this would come from a weather API)"
"components/planner/tabs/PlannerHealthSuggestions.tsx","130","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Implementare chiamata API per analisi AI"
"components/planner/tabs/PlannerHealthSuggestions.tsx","166","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Implementare invio richiesta a sistema agronomi"
"components/plants/BulkOperationModal.tsx","213","placeholder","release","accepted","form label or placeholder copy, not simulated operational data","{operationInfo.placeholder}"
"components/plants/TreatmentTracker.tsx","269","todo","release","scheduled:M12","agronomic operation pilot","{/* TODO: Caricare foto reale */}"
"components/prescription/CostOptimizationPanel.tsx","728","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Implement export functionality"
"components/prescription/HistoricalComparisonPanel.tsx","635","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Implement export functionality"
"components/prescription/MapExportModal.tsx","656","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Implement map preview"
"components/prescription/PrescriptionMapsDashboard_Mobile.tsx","87","mock","release","scheduled:M14","AI or agronomic rule validation","// Mock data for demonstration"
"components/prescription/PrescriptionMapsDashboard.tsx","451","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Implement map preview"
"components/prescription/PrescriptionMapsSimple.tsx","41","mock","release","scheduled:M14","AI or agronomic rule validation","{/* Mock Data */}"
"components/prescription/PrescriptionMapsSimple.tsx","52","mock","release","scheduled:M14","AI or agronomic rule validation","{/* Mock Map 1 */}"
"components/prescription/PrescriptionMapsSimple.tsx","75","mock","release","scheduled:M14","AI or agronomic rule validation","{/* Mock Map 2 */}"
"components/prescription/ZoneManagementPanel.tsx","238","todo","release","scheduled:M14","AI or agronomic rule validation","const baseRate = 100; // TODO: Get from prescription map"
"components/professional/NutrientCalculator.tsx","19","todo","release","scheduled:M12","agronomic or certification pilot evidence","// TODO: Integrate with logic/nutrientEngine.ts"
"components/professional/NutrientCalculator.tsx","20","placeholder","release","scheduled:M12","agronomic or certification pilot evidence","// Placeholder calculation"
"components/professional/TreatmentRegister.tsx","27","todo","release","scheduled:M12","agronomic operation pilot","// TODO: Implementare getTreatmentLogs nel storage provider"
"components/professional/TreatmentRegister.tsx","41","todo","release","scheduled:M12","agronomic operation pilot","// TODO: Implementare createTreatmentLog nel storage provider"
"components/settings/CultivationSelector.tsx","24","placeholder","release","accepted","form label or placeholder copy, not simulated operational data","placeholder?: string"
"components/shared/AICreditsWidget.tsx","17","todo","release","scheduled:M15","commercial upgrade and credit lifecycle","// TODO: Replace with useAICredits hook in FASE 5"
"components/shared/HomeDashboard.tsx","1271","todo","release","scheduled:M12","agronomic operation pilot","{/* TODO: Caricare zone da storage */}"
"components/shared/LocationSelector.tsx","50","placeholder","release","accepted","component placeholder property, not simulated data","placeholder?: string"
"components/shared/LocationSelector.tsx","240","placeholder","release","accepted","component placeholder property, not simulated data","return placeholder"
"components/shared/LocationSelector.tsx","274","todo","release","accepted","component placeholder property, not simulated data","// TODO: Aprire modal creazione zona"
"components/shared/MobileOptimizedInput.tsx","10","placeholder","release","accepted","component placeholder property, not simulated data","placeholder?: string"
"components/shared/MobileOptimizedInput.tsx","37","placeholder","release","accepted","component placeholder property, not simulated data","placeholder,"
"components/shared/MobileOptimizedInput.tsx","151","placeholder","release","accepted","component placeholder property, not simulated data","placeholder?: string"
"components/shared/MobileOptimizedInput.tsx","171","placeholder","release","accepted","component placeholder property, not simulated data","placeholder,"
"components/shared/PlantFuzzySearch.tsx","11","placeholder","release","accepted","form label or placeholder copy, not simulated operational data","placeholder?: string;"
"components/SoilInferenceWizard.tsx","32","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Integrare con Gemini Vision per riconoscimento automatico"
"components/sunExposure/AdvancedSunExposureWizard.tsx","408","placeholder","release","scheduled:M13","external weather or solar provider integration","// Modalità Foto 360° (placeholder - da implementare completamente)"
"components/treatments/TreatmentDashboardWidget.tsx","72","todo","release","scheduled:M12","agronomic operation pilot","// TODO: Implementare applicazione rapida del prodotto"
"components/treatments/TreatmentDashboardWidget.tsx","276","todo","release","scheduled:M12","agronomic operation pilot","onEdit={() => {/* TODO: Implementare modifica */}}"
"components/ui/Select.tsx","32","placeholder","release","accepted","component placeholder property, not simulated data","export function SelectValue({ placeholder }: { placeholder?: string }) {"
"components/ui/Select.tsx","33","placeholder","release","accepted","component placeholder property, not simulated data","return <>{placeholder}</>"
"hooks/useWeather.ts","21","todo","release","scheduled:M13","external weather or solar provider integration","// TODO: Get user location from profile/context"
"lib/auth-bypass.ts","137","mock","development","isolated","bypass guarded against production","* Mock user object per sviluppo locale (SOLO se bypass attivo)"
"lib/auth-bypass.ts","141","mock","development","isolated","bypass guarded against production","throw new Error('SECURITY_ERROR: Mock user not available in production');"
"lib/auth.server.ts","80","mock","development","isolated","references guarded development bypass only","// Se bypass attivo, ritorna mock user senza controllo token"
"lib/auth.server.ts","299","mock","development","isolated","references guarded development bypass only","// Se bypass attivo, ritorna mock profile con tier PRO"
"packages/core/hooks/useAuth.tsx","31","mock","development","isolated","uses guarded development bypass","// Se bypass attivo, usa mock user"
"packages/core/hooks/useAuth.tsx","217","mock","development","isolated","uses guarded development bypass","// Se bypass attivo, mantieni mock user"
"services/aiPlanningService.ts","318","mock","release","scheduled:M14","AI or agronomic rule validation","* Ottieni dati pianta (mock per ora, in produzione da database)"
"services/aiPredictiveEngine.ts","847","not implemented","release","scheduled:M14","AI or agronomic rule validation","return null // Not implemented in this version"
"services/aiPredictiveEngine.ts","855","not implemented","release","scheduled:M14","AI or agronomic rule validation","return null // Not implemented in this version"
"services/aiSuggestionsService.ts","123","mock","release","scheduled:M14","AI or agronomic rule validation","// For now, return mock suggestions based on context"
"services/aiSuggestionsService.ts","140","mock","release","scheduled:M14","AI or agronomic rule validation","const baseId = `mock-${context}-${Date.now()}`"
"services/apiConfigurationService.ts","42","todo","release","scheduled:M13","external provider integration","// TODO: Implementare criptazione vera con chiave gestita dal server"
"services/apiConfigurationService.ts","250","placeholder","release","scheduled:M13","external provider integration","// Aggiungiamo placeholder per il form"
"services/apiConfigurationService.ts","253","placeholder","release","scheduled:M13","external provider integration","api_key: '***', // Placeholder - l'utente deve reinserire per modificare"
"services/apiConfigurationService.ts","419","todo","release","scheduled:M13","external provider integration","// TODO: Implementare test reale per ogni tipo di servizio"
"services/complianceAIService.ts","317","mock","release","scheduled:M14","AI or agronomic rule validation","// For now, return a mock structure"
"services/compostService.ts","219","todo","release","scheduled:M12","agronomic operation pilot","// TODO: Implementare salvataggio in Supabase"
"services/contextAwareAIService.ts","91","placeholder","release","scheduled:M14","AI or agronomic rule validation","// For now, we'll use a placeholder"
"services/costOptimizationService.ts","674","mock","release","scheduled:M14","AI or agronomic rule validation","return 4.2; // Mock value"
"services/costOptimizationService.ts","678","mock","release","scheduled:M14","AI or agronomic rule validation","return 75; // Mock value"
"services/costOptimizationService.ts","737","mock","release","scheduled:M14","AI or agronomic rule validation","return 2340; // Mock value"
"services/costOptimizationService.ts","741","mock","release","scheduled:M14","AI or agronomic rule validation","return 4.5; // Mock value"
"services/costOptimizationService.ts","745","mock","release","scheduled:M14","AI or agronomic rule validation","return 85; // Mock value"
"services/costOptimizationService.ts","749","mock","release","scheduled:M14","AI or agronomic rule validation","return 88; // Mock value"
"services/costOptimizationService.ts","762","mock","release","scheduled:M14","AI or agronomic rule validation","return 0.15; // Mock sensitivity value"
"services/costOptimizationService.ts","799","mock","release","scheduled:M14","AI or agronomic rule validation","return 2500; // Mock value"
"services/costOptimizationService.ts","803","mock","release","scheduled:M14","AI or agronomic rule validation","return 4.0; // Mock value"
"services/costOptimizationService.ts","807","mock","release","scheduled:M14","AI or agronomic rule validation","return 0.8; // Mock value"
"services/costOptimizationService.ts","811","mock","release","scheduled:M14","AI or agronomic rule validation","return 0.75; // Mock value"
"services/droneIntegrationService.ts","764","mock","laboratory","isolated","simulation/lab provider","// Mock garden data"
"services/droneIntegrationService.ts","778","mock","laboratory","isolated","simulation/lab provider","// Mock tasks"
"services/freeAdviceService.ts","6","placeholder","release","scheduled:M14","AI or agronomic rule validation","// Placeholder data structure - will be populated by generateAIDatabase script"
"services/freeAdviceService.ts","24","placeholder","release","scheduled:M14","AI or agronomic rule validation","// For now, using a placeholder"
"services/integratedTreatmentService.ts","133","todo","release","scheduled:M12","agronomic operation pilot","totalCost: undefined // TODO: integrare con prezzi prodotti"
"services/intelligentNotificationService.ts","209","todo","release","scheduled:M14","AI or agronomic rule validation","// vedi TODO li' dentro): non dichiarare contenuto/confidenza AI che non esiste."
"services/intelligentNotificationService.ts","246","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Implementare chiamata AI reale"
"services/intelligentNotificationService.ts","593","todo","release","scheduled:M14","AI or agronomic rule validation","return `Generate a notification for ${alerts.length} garden alerts...` // TODO: Prompt completo"
"services/iotSensorService.ts","48","todo","release","scheduled:M13","external provider integration","// TODO: Implementare connessione reale con API sensore"
"services/iotSensorService.ts","49","mock","release","scheduled:M13","external provider integration","// Per ora, mock"
"services/iotSensorService.ts","67","todo","release","scheduled:M13","external provider integration","// TODO: Implementare recupero dati reali"
"services/iotSensorService.ts","68","mock","release","scheduled:M13","external provider integration","// Per ora, mock"
"services/iotSensorService.ts","138","todo","release","scheduled:M13","external provider integration","// TODO: Implementare recupero da database"
"services/iotSensorService.ts","150","todo","release","scheduled:M13","external provider integration","// TODO: Implementare aggiornamento database"
"services/maceratesService.ts","164","todo","release","scheduled:M12","agronomic operation pilot","// TODO: Implementare salvataggio in Supabase"
"services/marketDataService.ts","29","todo","release","scheduled:M13","external provider integration","// TODO: Integrare con API prezzi reali"
"services/marketDataService.ts","30","mock","release","scheduled:M13","external provider integration","// Per ora, mock basato su stagione"
"services/marketDataService.ts","70","todo","release","scheduled:M13","external provider integration","// TODO: Implementare con dati reali"
"services/marketDataService.ts","87","todo","release","scheduled:M13","external provider integration","// TODO: Implementare con dati storici"
"services/organizationService.ts","881","todo","release","scheduled:M15","commercial lifecycle or role management","// TODO: Check if resource belongs to user"
"services/organizationService.ts","948","todo","release","scheduled:M15","commercial lifecycle or role management","// TODO: Implement getting all garden IDs for organization"
"services/organizationService.ts","949","placeholder","release","scheduled:M15","commercial lifecycle or role management","return ['*']; // Placeholder for ""all gardens"""
"services/photoComparisonService.ts","175","placeholder","release","scheduled:M14","AI or agronomic rule validation","growthStatus: 'on_track' // Placeholder, da calcolare con dati reali"
"services/phytosanitaryAlertsService.ts","27","todo","release","scheduled:M13","external provider integration","// TODO: Integrare con servizi regionali (es. Regione Lombardia, Regione Toscana, ecc.)"
"services/phytosanitaryAlertsService.ts","28","mock","release","scheduled:M13","external provider integration","// Per ora, mock basato su stagione"
"services/predictiveAnalyticsService.ts","387","todo","release","scheduled:M14","AI or agronomic rule validation","// TODO: Integrare analisi foto per determinare crescita reale"
"services/prescriptionMapsService.ts","893","placeholder","release","scheduled:M14","AI or agronomic rule validation","const soilValue = 0.7; // Placeholder soil quality score"
"services/satelliteDataService.ts","41","todo","release","scheduled:M13","external provider integration","// TODO: Integrare con Copernicus Land Service o servizio equivalente"
"services/satelliteDataService.ts","42","mock","release","scheduled:M13","external provider integration","// Per ora, mock basato su coordinate e stagione"
"services/satelliteDataService.ts","73","todo","release","scheduled:M13","external provider integration","// TODO: Integrare con Sentinel-2 o servizio equivalente"
"services/satelliteDataService.ts","74","mock","release","scheduled:M13","external provider integration","// Per ora, mock"
